2021-05-22 23:00:24,885 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='IMDB', epoch=500, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=131, seed=1, use_aug=0)
2021-05-22 23:00:38,706 - classify.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 500, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-22 23:00:39,159 - classify.py[line:140] - INFO: before training: 0.499500036239624
2021-05-22 23:00:39,159 - classify.py[line:154] - INFO: ...start training...
2021-05-22 23:12:54,724 - classify.py[line:184] - INFO: Epoch 93, toal_loss 10.6640, aver loss 0.0014, train accuracy 0.9553, train auc 0.0000, test accuracy 0.8200, test auc 0.0000
2021-05-22 23:13:02,247 - classify.py[line:184] - INFO: Epoch 94, toal_loss 10.6340, aver loss 0.0014, train accuracy 0.9551, train auc 0.0000, test accuracy 0.8100, test auc 0.0000
2021-05-22 23:13:09,952 - classify.py[line:184] - INFO: Epoch 95, toal_loss 11.1871, aver loss 0.0015, train accuracy 0.9567, train auc 0.0000, test accuracy 0.8090, test auc 0.0000
2021-05-22 23:13:17,587 - classify.py[line:184] - INFO: Epoch 96, toal_loss 10.3458, aver loss 0.0014, train accuracy 0.9589, train auc 0.0000, test accuracy 0.8100, test auc 0.0000
2021-05-22 23:13:25,188 - classify.py[line:184] - INFO: Epoch 97, toal_loss 10.2905, aver loss 0.0013, train accuracy 0.9632, train auc 0.0000, test accuracy 0.8240, test auc 0.0000
2021-05-22 23:13:32,696 - classify.py[line:184] - INFO: Epoch 98, toal_loss 10.5179, aver loss 0.0013, train accuracy 0.9571, train auc 0.0000, test accuracy 0.8085, test auc 0.0000
2021-05-22 23:13:41,540 - classify.py[line:184] - INFO: Epoch 99, toal_loss 10.1271, aver loss 0.0013, train accuracy 0.9585, train auc 0.0000, test accuracy 0.8185, test auc 0.0000
2021-05-22 23:13:51,777 - classify.py[line:184] - INFO: Epoch 100, toal_loss 9.6570, aver loss 0.0012, train accuracy 0.9547, train auc 0.0000, test accuracy 0.8120, test auc 0.0000
2021-05-22 23:13:59,439 - classify.py[line:184] - INFO: Epoch 101, toal_loss 10.0977, aver loss 0.0013, train accuracy 0.9622, train auc 0.0000, test accuracy 0.8085, test auc 0.0000
2021-05-22 23:14:06,966 - classify.py[line:184] - INFO: Epoch 102, toal_loss 9.7005, aver loss 0.0012, train accuracy 0.9632, train auc 0.0000, test accuracy 0.8145, test auc 0.0000
2021-05-22 23:14:18,466 - classify.py[line:184] - INFO: Epoch 103, toal_loss 9.9149, aver loss 0.0012, train accuracy 0.9634, train auc 0.0000, test accuracy 0.8075, test auc 0.0000
2021-05-22 23:14:28,282 - classify.py[line:184] - INFO: Epoch 104, toal_loss 9.7692, aver loss 0.0012, train accuracy 0.9648, train auc 0.0000, test accuracy 0.8050, test auc 0.0000
2021-05-22 23:14:35,941 - classify.py[line:184] - INFO: Epoch 105, toal_loss 9.6304, aver loss 0.0012, train accuracy 0.9644, train auc 0.0000, test accuracy 0.8145, test auc 0.0000
2021-05-22 23:14:43,640 - classify.py[line:184] - INFO: Epoch 106, toal_loss 9.3583, aver loss 0.0011, train accuracy 0.9616, train auc 0.0000, test accuracy 0.8110, test auc 0.0000
2021-05-22 23:14:51,514 - classify.py[line:184] - INFO: Epoch 107, toal_loss 9.5258, aver loss 0.0011, train accuracy 0.9624, train auc 0.0000, test accuracy 0.8085, test auc 0.0000
2021-05-22 23:14:59,241 - classify.py[line:184] - INFO: Epoch 108, toal_loss 9.3438, aver loss 0.0011, train accuracy 0.9636, train auc 0.0000, test accuracy 0.8050, test auc 0.0000
2021-05-22 23:15:06,780 - classify.py[line:184] - INFO: Epoch 109, toal_loss 9.1592, aver loss 0.0011, train accuracy 0.9721, train auc 0.0000, test accuracy 0.8060, test auc 0.0000
2021-05-22 23:15:14,393 - classify.py[line:184] - INFO: Epoch 110, toal_loss 8.9816, aver loss 0.0010, train accuracy 0.9644, train auc 0.0000, test accuracy 0.8175, test auc 0.0000
2021-05-22 23:15:21,968 - classify.py[line:184] - INFO: Epoch 111, toal_loss 8.8604, aver loss 0.0010, train accuracy 0.9701, train auc 0.0000, test accuracy 0.8185, test auc 0.0000
2021-05-22 23:15:29,505 - classify.py[line:184] - INFO: Epoch 112, toal_loss 8.6660, aver loss 0.0010, train accuracy 0.9684, train auc 0.0000, test accuracy 0.8080, test auc 0.0000
2021-05-22 23:15:37,526 - classify.py[line:184] - INFO: Epoch 113, toal_loss 8.3379, aver loss 0.0009, train accuracy 0.9646, train auc 0.0000, test accuracy 0.8055, test auc 0.0000
2021-05-22 23:15:45,382 - classify.py[line:184] - INFO: Epoch 114, toal_loss 8.5535, aver loss 0.0009, train accuracy 0.9684, train auc 0.0000, test accuracy 0.8120, test auc 0.0000
2021-05-22 23:15:53,059 - classify.py[line:184] - INFO: Epoch 115, toal_loss 8.4000, aver loss 0.0009, train accuracy 0.9713, train auc 0.0000, test accuracy 0.8095, test auc 0.0000
2021-05-22 23:16:00,586 - classify.py[line:184] - INFO: Epoch 116, toal_loss 8.4425, aver loss 0.0009, train accuracy 0.9693, train auc 0.0000, test accuracy 0.8210, test auc 0.0000
2021-05-22 23:16:08,263 - classify.py[line:184] - INFO: Epoch 117, toal_loss 8.5369, aver loss 0.0009, train accuracy 0.9695, train auc 0.0000, test accuracy 0.8150, test auc 0.0000
2021-05-22 23:16:17,274 - classify.py[line:184] - INFO: Epoch 118, toal_loss 8.4536, aver loss 0.0009, train accuracy 0.9723, train auc 0.0000, test accuracy 0.8170, test auc 0.0000
2021-05-22 23:16:26,709 - classify.py[line:184] - INFO: Epoch 119, toal_loss 8.4574, aver loss 0.0009, train accuracy 0.9729, train auc 0.0000, test accuracy 0.8150, test auc 0.0000
2021-05-22 23:16:34,279 - classify.py[line:184] - INFO: Epoch 120, toal_loss 8.0630, aver loss 0.0008, train accuracy 0.9688, train auc 0.0000, test accuracy 0.8170, test auc 0.0000
2021-05-22 23:16:41,901 - classify.py[line:184] - INFO: Epoch 121, toal_loss 8.1121, aver loss 0.0008, train accuracy 0.9676, train auc 0.0000, test accuracy 0.8155, test auc 0.0000
2021-05-22 23:16:49,508 - classify.py[line:184] - INFO: Epoch 122, toal_loss 8.0073, aver loss 0.0008, train accuracy 0.9636, train auc 0.0000, test accuracy 0.8150, test auc 0.0000
2021-05-22 23:16:57,037 - classify.py[line:184] - INFO: Epoch 123, toal_loss 7.6550, aver loss 0.0008, train accuracy 0.9723, train auc 0.0000, test accuracy 0.8130, test auc 0.0000
2021-05-22 23:17:04,738 - classify.py[line:184] - INFO: Epoch 124, toal_loss 7.7332, aver loss 0.0008, train accuracy 0.9711, train auc 0.0000, test accuracy 0.8035, test auc 0.0000
